policy,n_claims,auto_approved,reviewed,wrong_approvals,auto_rate,wrong_auto_rate,wrong_rate_low,wrong_rate_high,wrong_per_1000,gross_review_savings,automation_cost,wrong_approval_loss,net_cost,net_savings,handling_hours,mean_turnaround_hours
Manual,6627,0,6627,0,0.0,,,,0.0,0.0,0.0,0.0,119286.0,0.0,1325.4,24.2
Checks,6627,5858,769,159,0.8839595593783008,0.02714236940935473,0.023280788856429507,0.03162373125206336,23.99275690357628,105444.0,2050.2999999999997,46631.34,62523.64000000002,56762.35999999998,178.20833333333334,2.811861827875861
Checks + score,6627,5123,1504,59,0.7730496453900709,0.011516689439781378,0.00893921830467818,0.014826212638224364,8.90297268749057,92214.0,1793.05,17227.149999999998,46092.20000000001,73193.79999999999,322.1458333333333,5.4954196217494085
