bin,n,mean_predicted,observed_payable,observed_low,observed_high
"(-0.001, 0.5]",94,0.36457349085594365,0.09574468085106383,0.05119138083044319,0.17204290806098949
"(0.5, 0.8]",146,0.6849101161628114,0.6027397260273972,0.5217108448064934,0.6785005784564723
"(0.8, 0.9]",359,0.8610367904637937,0.807799442896936,0.7638658421249306,0.8452153657630294
"(0.9, 0.95]",443,0.9270634439279555,0.8329571106094809,0.7953900087591979,0.8647991947527403
"(0.95, 0.97]",538,0.9625431699356217,0.9572490706319703,0.9366679210455295,0.9713465245046091
"(0.97, 0.98]",1063,0.975858382251873,0.9877704609595485,0.979188803302415,0.9928392840912525
"(0.98, 0.99]",3360,0.9855721092911633,0.9854166666666667,0.980773419509424,0.9889511953475896
"(0.99, 1.0]",624,0.991302505383249,0.9887820512820513,0.9770269499379429,0.9945556912887614
